,Removed_privileges,Shook_child,Called_dumb_lazy,Beat_hard,Learning_skill,Child's_weight,Sex,Weight_age_P,Wealth_index,Mother's_education
475,YES,NO,NO,NO,NO DIFFICULTY,14.4,MALE,9.3,Middle,Secondary
476,NO,NO,NO,NO,NO DIFFICULTY,12.1,FEMALE,0.3,Middle,Secondary
483,NO,NO,NO,NO,HAVE DIFFICULTY,9.3,FEMALE,0.4,Second,Secondary
484,YES,NO,NO,NO,HAVE DIFFICULTY,15.4,MALE,19.9,Middle,Higher secondary+
485,YES,NO,NO,NO,NO DIFFICULTY,9.2,FEMALE,0.7,Poorest,Pre-primary or none
487,NO,NO,NO,NO,NO DIFFICULTY,12.1,FEMALE,38.8,Second,Secondary
488,YES,NO,NO,NO,HAVE DIFFICULTY,13.5,MALE,8.9,Second,Secondary
490,YES,YES,YES,NO,NO DIFFICULTY,11.0,MALE,0.1,Middle,Secondary
494,NO,YES,NO,NO,NO DIFFICULTY,13.0,MALE,2.5,Poorest,Secondary
495,NO,YES,NO,NO,NO DIFFICULTY,10.3,FEMALE,8.2,Middle,Secondary
496,NO,YES,NO,NO,HAVE DIFFICULTY,8.6,FEMALE,0.1,Second,Higher secondary+
499,NO,NO,NO,NO,NO DIFFICULTY,12.5,FEMALE,7.7,Poorest,Higher secondary+
500,NO,NO,NO,NO,NO DIFFICULTY,12.0,MALE,8.3,Poorest,Higher secondary+
501,NO,NO,NO,NO,NO DIFFICULTY,16.5,MALE,54.1,Fourth,Secondary
502,YES,YES,NO,NO,HAVE DIFFICULTY,12.9,MALE,14.1,Poorest,Pre-primary or none
503,NO,NO,NO,NO,NO DIFFICULTY,15.4,MALE,39.1,Richest,Higher secondary+
506,YES,YES,NO,NO,NO DIFFICULTY,11.2,MALE,10.5,Middle,Secondary
